"lakename","year","season","MUFA_perc","PUFA_perc","SAFA_perc","perc_c18.2w6","perc_c18.3w6","perc_c18.3w3","perc_c18.4w3","perc_c18.5w3","perc_c20.4w6","perc_c20.5w3","perc_c22.6w3"
"Lake Mendota",1995,"iceoff",22.2621681549327,35.9372615929792,38.7855828692035,11.0172913284896,2.02052832547353,16.833402974698,1.20539248993488,0.849968117453584,0.0325968512021738,0.323458926710882,0.0954592569060057
"Lake Mendota",1995,"iceon",23.6903173830226,51.2584253521409,24.3685734188759,4.40392259016376,0.620691383773454,16.1408339490351,12.3248374389992,7.54229530786791,0.585585418929529,4.62593107504613,2.29618203158119
"Lake Mendota",1996,"iceoff",20.9848449017587,36.1695045692092,39.6526807881346,11.3345788739474,2.08112111131142,17.1365013162507,1.40294049548374,0.306886687538148,0.0189790563463097,0.265474942905259,0.0953416478756275
"Lake Mendota",1996,"iceon",20.9358399938007,35.8065000020217,39.9922506105687,11.409378533902,2.10626070829797,16.9707017480622,1.30512399733899,0.212525490468144,0.0168458959145612,0.253350962171654,0.0869949140066612
"Lake Mendota",1997,"iceoff",21.0303094993378,35.3415013415792,40.3109829303599,11.5442661043042,2.13783723301767,16.91232787036,1.00558916241326,0.0955918937393896,0.00518232605453096,0.158485509518086,0.0347189406863525
"Lake Mendota",1997,"iceon",24.8065048232771,36.3615730380188,36.1987445980228,9.47286128826392,1.76643130964691,15.0181382084734,2.51694554325582,2.73788307352403,0.162287958568594,1.26509163386318,0.504180387550878
"Lake Mendota",1998,"iceoff",21.5074947075603,36.031110490788,39.3045900057578,11.0406945923637,2.04124905828597,16.6247056975719,1.63627656064984,0.662185617592395,0.0465336242933789,0.468267681544044,0.181682510050264
"Lake Mendota",1998,"iceon",21.4340512965414,37.3563341450211,38.2624961149453,10.7700236689446,1.95721674178286,17.1222962203979,2.1489627691898,0.946529307303545,0.0602309224392579,0.571377102814617,0.245734816471266
"Lake Mendota",1999,"iceoff",21.040401051577,35.2552713037482,40.3723297510673,11.5482372368884,2.14173513481079,16.8531045563958,0.994844939095774,0.0895909400439279,0.00592495202102408,0.164830587668721,0.0367651183215024
"Lake Mendota",1999,"iceon",20.9424211617924,37.4170919298248,38.6481385297289,11.0642737732353,1.99961438509167,17.583703168858,1.89814663060232,0.593535656326303,0.0332195430325002,0.372338052120791,0.159845568723794
