"lakeid","year","ice_on","ice_off","duration","comments"
"MO","1861","1860-12-02","1861-04-10",129,
"MO","1862","1861-12-01","1862-04-13",133,
"MO","1863","1862-12-07","1863-04-05",119,
"MO","1864","1863-12-11","1864-04-20",131,
"MO","1865","1864-12-09","1865-04-05",117,
"MO","1866","1865-12-14","1866-04-18",125,
"MO","1867","1866-12-12","1867-04-19",128,
"MO","1868","1867-12-14","1868-03-31",108,
"MO","1869","1868-12-10","1869-04-15",126,
"MO","1870","1869-11-24","1870-04-11",138,
"MO","1871","1870-12-22","1871-04-01",100,
"MO","1872","1871-11-30","1872-04-20",142,
"MO","1873","1872-11-28","1873-04-18",141,
"MO","1874","1873-11-29","1874-04-14",136,
"MO","1875","1874-12-12","1875-04-14",123,
"MO","1876","1876-01-10","1876-04-10",91,
"MO","1877","1876-12-05","1877-04-16",132,
"MO","1878","1878-01-06","1878-03-09",62,
"MO","1879","1878-12-16","1879-04-10",115,
"MO","1880","1879-12-16","1880-03-18",93,
"MO","1881","1880-11-22","1881-05-01",160,
"MO","1882","1882-01-01","1882-03-19",77,
"MO","1883","1882-12-07","1883-04-13",127,
"MO","1884","1883-12-17","1884-04-15",120,
"MO","1885","1884-12-17","1885-04-17",121,
"MO","1886","1885-12-07","1886-04-17",131,
"MO","1887","1886-12-05","1887-04-15",131,
"MO","1888","1887-11-28","1888-04-13",137,
"MO","1889","1888-12-29","1889-03-26",87,
"MO","1890","1890-01-14","1890-03-29",74,
"MO","1891","1890-12-24","1891-04-16",113,
"MO","1892","1891-12-27","1892-04-01",96,
"MO","1893","1892-12-11","1893-04-07",117,
"MO","1894","1893-12-02","1894-03-11",99,
"MO","1895","1894-12-25","1895-04-08",104,
"MO","1896","1895-12-04","1896-04-01",119,
"MO","1897","1896-12-03","1897-04-05",123,
"MO","1898","1897-12-15","1898-03-26",101,
"MO","1899","1898-12-07","1899-04-15",129,
"MO","1900","1899-12-25","1900-04-16",112,
"MO","1901","1900-12-14","1901-04-11",118,
"MO","1902","1901-12-14","1902-03-27",103,
"MO","1903","1902-12-26","1903-03-21",85,
"MO","1904","1903-11-27","1904-04-15",140,
"MO","1905","1904-12-13","1905-04-03",111,
"MO","1906","1905-12-14","1906-04-08",115,
"MO","1907","1906-12-08","1907-03-24",106,
"MO","1908","1907-12-11","1908-03-26",106,
"MO","1909","1908-12-09","1909-04-06",118,
"MO","1910","1909-12-18","1910-03-24",96,
"MO","1911","1910-12-08","1911-03-21",103,
"MO","1912","1911-12-18","1912-04-09",113,
"MO","1913","1912-12-19","1913-04-02",104,
"MO","1914","1913-12-27","1914-03-20",83,
"MO","1915","1914-12-15","1915-04-09",115,
"MO","1916","1915-12-15","1916-04-04",111,
"MO","1917","1916-12-16","1917-04-11",116,
"MO","1918","1917-12-08","1918-04-03",116,
"MO","1919","1918-12-27","1919-03-20",83,
"MO","1920","1919-12-03","1920-03-28",116,
"MO","1921","1920-12-21","1921-03-16",85,
